一	Uno	ichi, itsu	hito-tsu
二	Dos	ni, ji	futa-tsu
三	Tres	san　	mit-tsu
四	Cuatro	shi	yot-tsu o yon
五	Cinco	go	itsu-tsu
六	Seis	roku	mut-tsu
七	Siete	shichi	nana-tsu
八	Ocho	hachi	yat-tsu
九	Nueve	ku o kyū	kokono-tsu
十	Diez	jū	tō
百	Cien	hyaku	momo
千	Mil	sen	chi
上	Arriba	jō	ue
下	Abajo	ka o ge	shita
左	Izquierda	sa	hidari
右	Derecha	u o yū	migi
中	Dentro, en medio	chū	naka
大	Grande	dai	ō-kii
小	Pequeño	shō	chii-sai
月	Mes; Luna	gatsu o getsu	tsuki
日	Día; Sol	nichi	hi
年,6,1,4,ネン とし ね,{year} {counter for years}
早,6,1,3,ソウ サッ はや.い はや はや- はや.まる はや.める さ- さか さわ そ わ,{early} {fast}
木,4,1,4,ボク モク き こ- ぐ も もと,{tree} {wood}
林	Arboleda	rin	hayashi
山	Montaña	san	yama
川	Río	sen	kawa
土	Tierra	do	tsuchi
空	Cielo	kū	sora
田	Campo de arroz	den	ta
天	Paraíso	ten	ama
生	Vida	sei o shō	i-kiru o u-mu o nama
花	Flor	ka	hana
草	Hierba	sō	kusa
虫	Insecto	chū	mushi
犬	Perro	ken	inu
人	Persona	jin o nin	hito
名	Nombre	mei o myō	na
女	Mujer	jo o nyo	on'na
男	Hombre	dan o nan	otoko
子	Niño	shi o su	ko
目	Ojo	moku	me
耳	Oreja	ji o ni	mimi
口	Boca	kō	kuchi
手	Mano	shu	te
足	Pierna	soku	ashi
見	Ver	ken	mi-ru
音	Sonido	on	ne o oto
力	Fuerza	riki o ryoku	chikara
気	Espíritu	ki o ke
円	Círculo; yen	en	maru
入	Entrar	nyū	hai-ru o i-ru
出	Salir	shutsu	de-ru
立	Levantarse	ritsu	ta-tsu
休	Descansar	kyū	yasu-mu
先	Anterior	sen	saki
夕	Tarde	seki	yū
本	Libro	hon	moto
文	Escritura	bun o mon	fumi
字	Carácter	ji	azana
学	Estudio	gaku	mana-bu
校	Escuela	kō
村	Pueblo	son	mura
町	Ciudad	chō	machi
森	Bosque	shin	mori
正	Correcto	sei	tada-shii
水	Agua	sui	mizu
火	Fuego	ka	hi
玉	Bola, joya	gyoku	tama
王	Rey	ō
石	Piedra	seki	ishi
竹	Bambú	chiku	take
糸	Hilo	shi	ito
貝	Concha		kai
車	Coche	sha	kuruma
金	Oro	kin	kane
雨	Lluvia	u	ame
赤	Rojo	seki	aka
青	Azul	sei	ao
白	Blanco	haku	shiro
数	Números	sū	kazu
多	Mucho	ta	ō-i
少	Un poco	shō	suku-nai,suko-shi
万	Diez mil	man	yorozu
半	Mitad, y media	han	naka-ba
形	Forma	kei o gyō	katachi
太	Gordo	ta	futo-i
細	Delgado	sai	hoso-i
広	Ancho	kō	hiro-i
長	Largo	chō	naga-i
点	Puntos	ten	bochi
丸	Circulo, redondo	gan	maru
交	Mezcla	kō	maji-waru
光	Brillo	kō	hikari
角	Esquina	kaku	kado, tsuno, sumi
計	Medida	kei	haka-ru
直	De inmediato, recto, correcto	choku, jiki	tada-chi,nao-su
線	Línea, cable	sen
矢	Flecha	shi	ya
弱	Débil	jaku	yowa-i
強	Fuerte	kyō	tsuyo-i
高	Alto	kō	taka-i
同	Igual	dō	ona-ji
親	Padres	shin	oya
母	Madre	bo	haha, kaa
父	Padre	fu	chichi, tou
姉	Hermana mayor	shi	ane
兄	Hermano mayor	kei	ani
弟	Hermano menor	tei o dai	otouto
妹	Hermana menor	mai	imōto
自	Uno mismo	ji o shi	mizuka-ra
友	Amigo	yū	tomo
体	Cuerpo	tai	karada
毛	Pelaje, vello	mō	ke
頭	Cabeza	tō	atama
顔	Cara	gan	kao
首	Cuello	shu	kubi
心	Corazón	shin	kokoro
時	Tiempo	ji	toki
曜	Día de la semana	yō
朝	Mañana	chō	asa
昼	Tarde	chū	hiru
夜	Noche	ya	yoru
分	Minuto; entender	fun, bun	wa-karu
週	Semana　	shū
春	Primavera	shun	haru
夏	Verano	ka	natsu
秋	Otoño	shū	aki
冬	Invierno	tō	fuyu
今	Ahora	kon	ima
新	Nuevo	shin	atara-shii
古	Viejo	ko	furu-i
間	Intervalo de tiempo, espacio	kan, ken	ma, aida
方	Persona, manera	hō	kata
北	Norte	hoku	kita
南	Sur	nan	minami
東	Este	tō	higashi, azuma
西	Oeste	sei o sai	nishi
遠	Lejos　	en	tō-i
近	Cerca	kin	chika-i
前	Antes, delante de	zen	mae
後	Detrás, después de	go, kou	nochi,ushi-ro,ato
内	Dentro	nai	uchi
外	Fuera	gai o ge	soto, hoka,hazu-su
場	Lugar	jō	ba
地	Tierra	chi o ji
国	País	koku	kuni
園	Parque, jardín	en	sono
谷	Valle	koku	tani
野	Llanura	ya	no
原	Prado	gen	hara
里	Aldea, pueblo	ri	sato
市	Ciudad	shi	ichi
京	Capital	kyō o kei
風	Viento	fū	kaze
雪	Nieve	setsu	yuki
雲	Nube	un	kumo
池	Lago	chi	ike
海	Mar	kai	umi
岩	Roca	gan	iwa
星	Estrella	sei	hoshi
室	Habitación	shitsu	muro
戸	Puerta	ko	to o be
家	Casa	ka o ke	ie
寺	Templo budista	ji	tera
通	Atravesar	tsū	tō-ru
門	Puertas	mon	kado
道	Camino	dō	michi
話	Hablar	wa	hanashi
言	Decir	gen, gon	i-u,koto
答	Responder	tō	kota-eru
声	Voz	sei	koe
聞	Escuchar	bun o mon	ki-ku
語	Idioma	go	kata-ru
読	Leer	doku	yo-mu
書	Escribir	sho	ka-ku
記	Anotar	ki	shiru-su
紙	Papel　	shi	kami
画	Dibujo	ga o kaku
絵	Cuadro, pintura	kai	e
図	Dibujo, planear, diseñar	zu	haka-ru
工	Construcción	kō o ku
教	Enseñar, ser enseñado	kyō	oshi-eru
晴	Despejarse (tiempo atmosférico)	sei	hare
思	Pensar	shi	omo-u
考	Pensar, considerar	kō	kanga-eru
知	Saber	chi	shi-ru
才	Talento, habilidad	sai, zai	wazukani, zae
理	Lógica, razón	ri	kotowari
算	Cálculo	san
作	Hacer, construir	saku	tsuku-ru
元	Origen, comienzo	gen o gan	moto
食	Comer	shoku	ta-beru,ku-u
肉	Carne	niku
馬	Caballo	ba	uma or ma
牛	Vaca	gyū	ushi
魚	Pez	gyo	uo o sakana
鳥	Pájaro	chō	tori
羽	Plumas	u	ha or hane
鳴	Emitir sonido (animal)	mei	na-ku
麦	Cebada, trigo	baku	mugi
米	Arroz	bei o mai	kome
茶	Té	cha o sa
色	Color	shoku	iro
黄	Amarillo	ō	ki
黒	Negro	koku	kuro
来	Venir	rai	ku-ru
行	Ir	kō o gyō	i-ku,yu-ku,okonau
帰	Volver	ki	kae-ru
歩	Andar	ho	aru-ku,ayu-mu
走	Correr	sō	hashi-ru
止	Parar	shi	to-maru
活	Vida, energía	katsu	i-kiru
店	Tienda	ten	mise
買	Comprar	bai	ka-u
売	Vender	bai	u-ru
午	Mediodía	go	uma
汽	Vapor	ki
弓	Arco	kyū	yumi
回	-nº de veces, girar	kai
会	Reunirse	kai o e	a-u
組	Grupo, equipo	so	kumi
船	Barco	sen	fune
